PARTICIPANT ID,SEX,EST. Current Age,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY,EVENT DATE,EVENT NAME,EVENT LENGTH,TIME,CATEGORY
66,1,50,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,03:37:51,M45-49,2014-04-27,Banque Scotia 21km et 5km,21,01:34:03,M45-49,2013-09-22,Marathon Oasis de Montreal,42.2,03:33:35,M45-49,2013-05-26,Ottawa Race Weekend,42.2,-1,M45-49,2012-09-23,Marathon Oasis de Montreal,42.2,03:32:19,M45-49
67,0,22,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,03:52:22,F18-24
68,1,50,2013-09-22,Marathon Oasis de Montreal,42.2,05:10:56,M45-49
69,1,36,2012-09-23,Marathon Oasis de Montreal,42.2,03:32:55,M30-34
70,1,28
71,1,43,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:47:36,M40-44
72,0,38
73,1,43
74,1,28,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,05:54:25,M25-29
75,1,38,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,03:45:33,M35-39
76,0,38,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:42:59,F35-39
77,0,53
78,0,38,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:28:30,F35-39
79,1,53,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,05:38:11,M50-54
80,0,53,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,07:38:30,F50-54
81,1,34,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,-1,M30-34
82,1,53,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:49:42,M50-54
83,1,43
84,0,30,2012-09-23,Marathon Oasis de Montreal,42.2,03:57:08,F25-29
85,1,53,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,05:11:54,M50-54
86,1,33,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,07:12:49,M30-34
87,0,38
88,0,38
89,1,33,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:35:43,M30-34
90,1,43,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,03:34:42,M40-44
91,1,43,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:30:33,M40-44
92,1,49,2014-04-27,Banque Scotia 21km et 5km,21,02:00:40,M45-49,2013-09-22,Marathon Oasis de Montreal,42.2,04:29:55,M45-49
93,1,56,2014-08-24,Marathon SSQ Lévis-Québec,42.2,-1,M50-59,2012-09-23,Marathon Oasis de Montreal,42.2,03:20:46,M50-54
94,0,43,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,05:30:23,F40-44
95,0,35
96,1,56,2014-05-25,Tamarack Ottawa Race Weekend,42.2,-1,M50-54,2013-09-22,Marathon Oasis de Montreal,42.2,04:55:41,M50-54,2012-05-27,Ottawa Race Weekend,42.2,04:53:57,M50-54,2012-03-25,Around the Bay Road Races,30,03:39:05,M50-54
97,1,38,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,06:45:15,M35-39
98,1,46,2012-09-23,Marathon Oasis de Montreal,42.2,04:45:35,M40-44
99,1,37,2016-04-30,Marathon des Érables,42.2,05:03:16,M30-39,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,05:43:50,M35-39
100,0,46
101,1,22,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:19:17,M18-24
102,1,50,2013-09-22,Marathon Oasis de Montreal,42.2,04:57:53,M45-49
103,1,34,2013-09-22,Marathon Oasis de Montreal,42.2,03:47:11,M30-34
104,0,49,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,05:06:59,F45-49,2014-09-07,Coupe Dix30,30,02:48:19,F40-49,2014-05-25,Tamarack Ottawa Race Weekend,42.2,-1,F45-49,2014-03-30,Around the Bay Road Races,30,02:55:54,F45-49,2013-04-28,Banque Scotia 21km et 5km,21,02:02:14,F45-49
105,0,28,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,06:02:47,F25-29
106,0,24,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,06:00:56,F18-24,2014-04-27,Banque Scotia 21km et 5km,21,01:59:53,F20-24,2013-04-28,Banque Scotia 21km et 5km,21,02:10:50,F20-24
107,1,51,2012-09-23,Marathon Oasis de Montreal,42.2,04:01:46,M45-49
108,1,28,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,03:51:16,M25-29
109,1,53
110,1,22,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:05:36,M18-24
111,0,35,2013-09-22,Marathon Oasis de Montreal,42.2,03:41:00,F30-34
112,0,28
113,1,38,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:56:24,M35-39
114,1,47,2015-05-24,Tamarack Ottawa Race Weekend,42.2,-1,M45-49,2014-05-25,Tamarack Ottawa Race Weekend,42.2,-1,M45-49,2013-04-28,Banque Scotia 21km et 5km,21,01:45:45,M40-44,2012-09-23,Marathon Oasis de Montreal,42.2,04:19:04,M40-44
115,1,38,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,05:31:53,M35-39
116,0,60,2013-09-22,Marathon Oasis de Montreal,42.2,04:15:38,F55-59
117,1,41,2016-04-30,Marathon des Érables,30,03:16:18,M40-49,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,05:40:50,M40-44
118,0,22
119,1,53
120,0,33,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,06:37:08,F30-34
121,1,36,2013-09-22,Marathon Oasis de Montreal,42.2,04:26:23,M30-34
122,1,31,2013-09-22,Marathon Oasis de Montreal,42.2,04:03:19,M25-29
123,0,50,2013-09-22,Marathon Oasis de Montreal,42.2,04:33:54,F45-49
124,0,48,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:07:51,F45-49
125,1,40,2013-09-22,Marathon Oasis de Montreal,42.2,03:39:01,M35-39
126,1,35,2013-09-22,Marathon Oasis de Montreal,42.2,04:02:10,M30-34
127,1,59,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:39:54,M55-59,2013-09-22,Marathon Oasis de Montreal,42.2,04:21:52,M55-59
128,0,22,2013-09-22,Marathon Oasis de Montreal,42.2,04:23:32,F18-24
129,1,48,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:04:03,M45-49,2015-05-24,Tamarack Ottawa Race Weekend,42.2,-1,M45-49
130,1,36,2012-09-23,Marathon Oasis de Montreal,42.2,03:27:17,M30-34
131,1,35,2013-09-22,Marathon Oasis de Montreal,42.2,04:26:15,M30-34
132,0,55,2014-06-14,Tour du Lac Brome,22,02:24:01,F50-59,2014-03-30,Around the Bay Road Races,30,03:21:28,F50-54,2013-09-22,Marathon Oasis de Montreal,42.2,04:39:43,F50-54,2012-06-17,Manitoba Marathon,42.2,-1,F50-54
133,1,30,2013-09-22,Marathon Oasis de Montreal,42.2,03:53:11,M25-29
134,1,55,2013-09-22,Marathon Oasis de Montreal,42.2,03:52:01,M50-54
135,1,28
136,1,42
137,1,38,2016-08-21,Vert le Raid - XC de la Vallee,21,03:50:00,M30-39,2015-10-04,Demi-marathon de Granby,21,01:43:03,M30-39,2013-09-22,Marathon Oasis de Montreal,42.2,04:11:09,M35-39
138,1,43,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,05:56:24,M40-44
139,1,63,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,05:19:51,M60-64
140,0,40,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:33:01,F40-44,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:43:22,F35-39,2013-09-22,Marathon Oasis de Montreal,42.2,03:50:13,F35-39,2013-05-26,Ottawa Race Weekend,42.2,-1,F35-39,2012-09-23,Marathon Oasis de Montreal,42.2,04:07:59,F35-39
141,1,51,2012-09-23,Marathon Oasis de Montreal,42.2,04:18:31,M45-49
142,0,38,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,05:08:05,F35-39
143,1,22,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,03:49:20,M18-24
144,1,38,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,05:09:20,M35-39
145,1,34,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:54:39,M30-34,2013-10-20,Scotiabank Toronto Waterfront Marathon,42.2,03:21:19,M30-34,2013-05-26,Ottawa Race Weekend,42.2,-1,M30-34
146,1,28
147,1,22,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:05:53,M18-24
148,1,50,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:57:54,M50-54
149,1,46,2012-09-23,Marathon Oasis de Montreal,42.2,02:59:03,M40-44
150,1,53
151,1,22
152,0,22,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,03:38:36,F18-24
153,1,48,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,05:40:22,M45-49
154,1,33,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,06:00:50,M30-34
155,1,28,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:18:41,M25-29
156,0,43
157,1,49,2013-09-22,Marathon Oasis de Montreal,42.2,03:39:36,M45-49,2013-05-26,Ottawa Race Weekend,42.2,-1,M45-49,2013-04-28,Banque Scotia 21km et 5km,21,01:30:21,M45-49,2012-09-23,Marathon Oasis de Montreal,42.2,03:19:54,M45-49
158,1,33
159,1,30,2013-09-22,Marathon Oasis de Montreal,42.2,05:56:04,M25-29
160,1,36,2012-09-23,Marathon Oasis de Montreal,42.2,02:18:43,M30-34
161,0,28,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:09:30,F25-29
162,0,38,2013-09-22,Marathon Oasis de Montreal,42.2,04:37:23,F35-39,2012-09-23,Marathon Oasis de Montreal,42.2,04:31:30,F30-34
163,1,43,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,-1,M40-44
164,1,53
165,1,33,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:33:44,M30-34,2014-09-07,Coupe Dix30,30,02:41:34,F30-39
166,1,43,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:02:12,M40-44
167,0,63,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,06:29:15,F60-64
168,1,46,2012-09-23,Marathon Oasis de Montreal,42.2,04:32:31,M40-44
169,1,30,2013-09-22,Marathon Oasis de Montreal,42.2,03:46:33,M25-29
170,1,33,2012-09-23,Marathon Oasis de Montreal,42.2,03:57:49,M25-29
171,1,55,2013-09-22,Marathon Oasis de Montreal,42.2,04:15:35,M50-54,2013-04-28,Banque Scotia 21km et 5km,21,01:50:56,M50-54
172,1,38,2013-09-22,Marathon Oasis de Montreal,42.2,02:57:55,M35-39,2013-04-28,Banque Scotia 21km et 5km,21,01:23:47,M35-39
173,1,43,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:50:48,M40-44
174,0,48,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,06:40:45,F45-49
175,1,28,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,06:28:48,M25-29
176,1,40,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:02:45,M40-44,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:37:02,M35-39
177,0,28
178,1,33
179,0,42
180,1,33
181,1,49,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,04:49:46,M45-49,2014-02-22,Defi Nordique,50,03:45:32,M45-49
182,0,53,2015-09-20,Marathon Oasis Rock 'n' Roll de Montreal,42.2,04:08:25,F50-54
183,1,68,2014-09-28,Marathon Oasis Rock ‘n’ Roll de Montréal,42.2,05:36:00,M65-69
